RAMA (RUS),"TIPO DE ACTIVIDAD (""Tipo 02_16"" del RUS)",CANTIDAD DE RELEVAMIENTOS,REMOTICIDAD FINAL,HERRAMIENTAS DE FABRICACIÓN,POSIBILIDAD DE DISTRIBUCIÓN,NECESIDAD DE TRASLADO CONSUMIDOR,EVALUACIÓN PRESENCIAL DE LA CALIDAD,VENTA EXPERIENCIA PRESENCIAL,HÁBITO DE CONSUMO REMOTO,USOS NO COMERCIALES,REMOTO FULL,REMOTO HUB,REMOTO MIX,R. COMPLEJO,NO REMOTO
COMERCIO,VERDULERIA + ALMACEN,40,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto incipiente,,1,3,4,3,3
SERVICIO DE HOTELERIA Y RESTAURANTES,RESIDENCIA,35,viviendaSi,,,,,,,viviendaSi,,,,,
SERVICIO DE CORREO Y TELECOMUNICACIONES,LOCUTORIO + LOTERIA,16,remotoNo,Maquinaria liviana,"Factible, no eficiente",Se traslada una persona,No requiere,Agrega mucho valor,Sin público remoto,,1,2,2,4,5
SERVICIOS INMOBILIARIOS,SALON DE FIESTAS,416,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
COMERCIO,VAJILLA DE PLATA Y CRISTALERIA,6,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto incipiente,,1,3,4,3,3
COMERCIO,BICICLETAS (VENTA),163,remotoMix,Infraestructura chica,"Factible, no eficiente",Opcional,Presencial,Agrega algo de valor,Público remoto potencial,,0,1,5,4,3
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",DISTRIBUIDORA DE PELICULAS,4,remotoHub,Infraestructura chica,Fundamental,No requiere,No requiere,No agrega valor,Público remoto incipiente,,3,5,2,3,3
HOTELERIA Y GASTRONOMIA,CONFITERIA,180,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
COMERCIO,ARTICULOS USADOS,69,remotoComplex,Infraestructura chica,Factible de manera eficiente,Se traslada un bien,Presencial,No agrega valor,Público remoto incipiente,,1,3,3,5,5
FABRICACION DE PRODUCTOS METALICOS,TORNERIA MECANICA,28,remotoNo,Maquinaria pesada,"Factible, no eficiente",Se traslada un bien,No requiere,No agrega valor,Sin público remoto,,2,3,1,3,4
ELABORACION DE PRODUCTOS ALIMENTICIOS Y BEBIDAS,"TORTAS, MASAS ELABORACION Y VENTA)",35,remotoHub,Maquinaria pesada,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
COMERCIO,HERRAJES,57,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto incipiente,,2,4,3,3,3
COMERCIO,MUEBLES PARA OFICINA,41,remotoMix,Infraestructura considerable,Fundamental,No requiere,Presencial,Agrega algo de valor,Público remoto potencial,,1,2,4,4,3
PRODUCTOS DE MADERA,MADERERA,109,remotoComplex,Infraestructura considerable,Fundamental,No requiere,Presencial,No agrega valor,Público remoto incipiente,,2,3,2,4,4
COMERCIO,ARTICULOS DE JARDINERIA,15,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
COMERCIO,FUEGOS ARTIFICIALES,19,remotoHub,Infraestructura chica,"Factible, no eficiente",No requiere,No requiere,No agrega valor,Público remoto incipiente,,3,4,1,3,3
OTROS SERVICIOS,BARBERIA,5,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada una persona,No requiere,Agrega mucho valor,Público remoto potencial,,1,2,3,5,3
OTROS SERVICIOS,CENTRO DE ESTETICA CORPORAL,382,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada una persona,No requiere,Agrega mucho valor,Público remoto incipiente,,1,2,2,5,4
COMERCIO,MUEBLES + ART. DE DECORACION (VENTA),92,remotoMix,Infraestructura considerable,Fundamental,No requiere,Presencial,Agrega algo de valor,Público remoto potencial,,1,2,4,4,3
SERVICIOS INFORMATICOS Y ACTIVIDADES CONEXAS,SERVICIOS DE COMPUTACION,71,remotoFull,No requiere,"Factible, no eficiente",Se traslada un bien,No requiere,No agrega valor,Público remoto considerable,,4,3,1,2,3
SERVICOS SOCIALES Y DE SALUD,KINESIOLOGIA,45,remotoComplex,Maquinaria liviana,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Público remoto potencial,,0,1,3,5,5
COMERCIO,ARTICULOS DEPORTIVOS,91,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega mucho valor,Público remoto potencial,,1,3,5,5,4
HOTELERIA Y GASTRONOMIA,PARRILLA - RESTAURANTE,90,remotoMix,Maquinaria liviana,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
ELABORACION DE PRODUCTOS ALIMENTICIOS Y BEBIDAS,BOMBONES (ELABORACION Y VENTA),47,remotoMix,Maquinaria liviana,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
VENTA Y REP. DE VEHICULOS AUTOMOTORES,CHAPA Y PINTURA AUTOMOTORES,197,remotoComplex,Infraestructura chica,"Factible, no eficiente",Se traslada un bien,Opcional,Agrega algo de valor,Público remoto incipiente,,0,1,3,4,4
COMERCIO,CAJAS DE CARTON (VENTA),17,remotoHub,Infraestructura considerable,Factible de manera eficiente,No requiere,No requiere,No agrega valor,Público remoto incipiente,,3,4,1,3,3
SERVICIOS EMPRESARIALES,SERVICIO HIGIENE - LIMPIEZA,24,remotoHub,Infraestructura chica,Fundamental,No puede trasladarse,No requiere,No agrega valor,Público remoto considerable,,3,6,4,2,3
COMERCIO,FIAMBRERIA,258,remotoMix,Maquinaria liviana,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto incipiente,,1,3,4,3,3
RECICLAMIENTO DE DESPERDICIOS Y DESECHOS NO METALICOS,RECICLADO DE PAPEL Y DERIVADOS,10,remotoNo,Maquinaria pesada,No se distribuyen,Se traslada un bien,Opcional,No agrega valor,Sin público remoto,,1,2,2,2,4
VENTA Y REP. DE VEHICULOS AUTOMOTORES,BATERIAS (AUTOMOTORES),56,remotoHub,Infraestructura chica,Factible de manera eficiente,Opcional,No requiere,No agrega valor,Público remoto considerable,,3,5,4,2,3
COMERCIO,VENTA DE ARTICULOS SANITARIOS,12,remotoMix,Infraestructura considerable,Fundamental,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
SERVICOS SOCIALES Y DE SALUD,LABORATORIO ANALISIS CLINICOS,76,remotoNo,Maquinaria liviana,No se distribuyen,Se traslada una persona,No requiere,Agrega algo de valor,Sin público remoto,,1,2,2,2,4
COMERCIO,REPARACION CELULARES,27,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,No requiere,No agrega valor,Público remoto incipiente,,2,3,1,4,3
COMERCIO,ARREGLO INSTRUMENTOS MUSICALES,4,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,Presencial,No agrega valor,Público remoto potencial,,1,2,3,5,3
COMERCIO,LIBRERIA + KIOSCO,79,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
PRODUCTOS DE MADERA,TALLER DE MARCOS,87,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada una persona,Opcional,Agrega mucho valor,Público remoto potencial,,0,1,4,5,3
CONFECCION DE PRENDAS DE VESTIR,SASTRERIA,152,remotoComplex,Infraestructura chica,Factible de manera eficiente,Se traslada una persona,Presencial,Agrega algo de valor,Público remoto incipiente,,0,2,4,5,5
SERVICIOS DE ASOCIACIONES,ASOCIACION SOCIAL Y CULTURAL,110,remotoComplex,No requiere,No se distribuyen,Performance,No requiere,Es excluyente,Público remoto potencial,,2,1,1,3,3
COMERCIO,PAPELERIA,246,remotoHub,Infraestructura considerable,Factible de manera eficiente,No requiere,Presencial,No agrega valor,Público remoto considerable,,3,4,3,3,4
"FABRICACION DE MUEBLES Y COLCHONES, INDUSTRIAS MANUFACTURERAS",CARPINTERIA,132,remotoMix,Maquinaria pesada,Fundamental,Opcional,Presencial,No agrega valor,Público remoto considerable,,2,4,5,3,4
HOTELERIA Y GASTRONOMIA,PIZZAS PARA LLEVAR,126,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
SERVICOS SOCIALES Y DE SALUD,CLINICA MEDICA,63,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
OTROS SERVICIOS,PELUQUERIA CABALLEROS,135,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada una persona,Presencial,Agrega mucho valor,Público remoto potencial,,0,1,4,6,4
COMERCIO,VIVERO,119,remotoComplex,Infraestructura considerable,Factible de manera eficiente,No requiere,Presencial,Agrega mucho valor,Público remoto potencial,,1,2,4,5,4
"ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA",ORGANISMOS PUBLICOS NACIONALES,306,servicioSi,,,,,,,servicioSi,,,,,
ELABORACIN DE PRODUCTOS ALIMENTICIOS Y BEBIDAS,ELAB. DE HARINAS,3,remotoHub,Maquinaria pesada,Fundamental,No requiere,No requiere,No agrega valor,Público remoto considerable,,4,6,3,2,3
COMERCIO,DISQUERIA,150,remotoComplex,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega mucho valor,Público remoto incipiente,,1,2,3,4,4
COMERCIO,GRANJA + FIAMBRERIA,18,remotoMix,Maquinaria liviana,"Factible, no eficiente",No requiere,Presencial,Agrega algo de valor,Público remoto potencial,,1,2,4,4,3
VENTA Y REP. DE VEHICULOS AUTOMOTORES,TAPICERIA PARA AUTOS,38,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,Presencial,No agrega valor,Público remoto potencial,,1,2,3,5,3
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",CANCHAS DE PADDLE,16,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
OTROS SERVICIOS,TATUAJES,191,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada una persona,Presencial,Agrega mucho valor,Público remoto potencial,,0,1,4,6,4
COMERCIO,BIJOUTERIE,303,remotoComplex,Herramientas manuales,"Factible, no eficiente",No requiere,Presencial,No agrega valor,Público remoto incipiente,,2,3,2,4,3
FABRICACION DE PRODUCTOS MINERALES NO METALICOS,ELABORACION DE CEMENTO,1,remotoHub,Maquinaria pesada,Fundamental,No requiere,No requiere,No agrega valor,Público remoto considerable,,4,6,3,2,3
ELABORACION DE PRODUCTOS ALIMENTICOS Y BEBIDA,ELABORACION DE HIELO,2,remotoHub,Maquinaria pesada,Fundamental,No requiere,No requiere,No agrega valor,Público remoto considerable,,4,6,3,2,3
"FABRICACION DE MUEBLES Y COLCHONES, INDUSTRIAS MANUFACTURERAS",FAB. JUEGOS Y JUGUETES,3,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
COMERCIO,MAXIKIOSCO + ALMACEN,87,remotoMix,Herramientas manuales,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,1
SERVICOS SOCIALES Y DE SALUD,REHABILITACION FISICA,6,remotoComplex,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Público remoto potencial,,0,0,2,5,5
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",CANCHAS DE FUTBOL,162,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
COMERCIO,MAQUETAS DE TELGOPOR,5,remotoComplex,Herramientas manuales,"Factible, no eficiente",No requiere,Presencial,No agrega valor,Público remoto incipiente,,2,3,2,4,3
COMERCIO,JOYERIA,546,remotoComplex,Infraestructura chica,"Factible, no eficiente",No requiere,Presencial,Agrega algo de valor,Público remoto incipiente,,1,2,3,4,4
COMERCIO,SANTERIA,161,remotoComplex,Infraestructura chica,"Factible, no eficiente",No requiere,Presencial,Agrega algo de valor,Público remoto incipiente,,1,2,3,4,4
OTROS SERVICIOS,DEPILACION,192,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada una persona,Opcional,Agrega mucho valor,Público remoto potencial,,0,1,4,5,3
"FABRICACION DE MUEBLES Y COLCHONES, INDUSTRIAS MANUFACTURERAS",FABRICACION DE SILLONES,1,remotoMix,Maquinaria pesada,Fundamental,No requiere,Opcional,Agrega algo de valor,Público remoto considerable,,2,4,5,2,3
ENSEÑANZA,APOYO ESCOLAR,12,remotoComplex,Infraestructura chica,"Factible, no eficiente",Se traslada una persona,Presencial,Es excluyente,Público remoto potencial,,0,1,3,6,5
FABRICACION DE SUSTANCIAS Y PRODUCTOS QUIMICOS,FABRICACION DE MEDICAMENTOS,31,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
FABRICACION DE PAPEL Y PRODUCTOS DE PAPEL,FABRICACION DE PAPEL Y SUS PROD.,30,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
VENTA Y REP. DE VEHICULOS AUTOMOTORES,LAVADERO DE AUTOS + KIOSCO,31,remotoNo,Infraestructura considerable,"Factible, no eficiente",Se traslada un bien,Opcional,Agrega mucho valor,Sin público remoto,,0,0,2,4,5
COMERCIO,COMPRA VENTA DE ORO,48,remotoMix,Infraestructura chica,"Factible, no eficiente",Opcional,Presencial,Agrega algo de valor,Sin público remoto,,0,1,4,3,4
COMERCIO,KIOSCO + LIBRERIA,118,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
COMERCIO,MAQUINAS Y EQUIPOS PARA OFICINAS,62,remotoMix,Infraestructura chica,Fundamental,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
ENSEÑANZA,TALLER DE VITREUX,6,remotoNo,Infraestructura chica,No se distribuyen,Se traslada una persona,Opcional,Agrega mucho valor,Sin público remoto,,0,1,3,3,5
OTROS SERVICIOS,VELATORIO,40,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
ENSEÑANZA,COLEGIO SECUNDARIO,106,remotoNo,Infraestructura considerable,Factible de manera eficiente,Se traslada una persona,Presencial,Es excluyente,Sin público remoto,,0,1,2,5,6
SERVICIOS INFORMATICOS Y ACTIVIDADES CONEXAS,DESARROLLO DE SISTEMAS COMPUTACION,2,remotoFull,No requiere,Digital,No requiere,No requiere,No agrega valor,Público remoto potencial,,5,3,1,1,0
FABRICACION DE MAQUINARIA Y EQUIPO NCP,FABRICACION DE MAQUINARIA,25,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
COMERCIO,PRODUCTOS QUIMICOS,13,remotoHub,Infraestructura chica,Fundamental,No requiere,No requiere,No agrega valor,Público remoto considerable,,4,6,3,2,3
COMERCIO POR MAYOR,MAYORISTA MATERIALES P/LA CONSTRUCCION,8,remotoHub,Infraestructura considerable,Fundamental,No requiere,No requiere,No agrega valor,Público remoto considerable,,4,5,2,2,3
VENTA Y REP. DE VEHICULOS AUTOMOTORES,TALLER RECTIFICACION AUTOMOTORES,45,remotoNo,Maquinaria pesada,"Factible, no eficiente",Se traslada un bien,No requiere,Agrega algo de valor,Sin público remoto,,1,2,2,3,4
COMERCIO,AVES Y HUEVOS (VENTA),2,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
OTROS,OTROS,162,sinUso,,,,,,,sinUso,,,,,
VENTA Y REP. DE VEHICULOS AUTOMOTORES,AUTORADIO (COLOCACION),13,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,No requiere,Agrega algo de valor,Público remoto potencial,,1,2,3,4,2
OTROS SERVICIOS,SALON DE BELLEZA,329,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada una persona,Opcional,Agrega mucho valor,Sin público remoto,,0,1,3,4,4
SERVICIOS INFORMATICOS Y ACTIVIDADES CONEXAS,INTERNET,56,remotoNo,Infraestructura chica,No se distribuyen,Se traslada una persona,No requiere,Agrega algo de valor,Público remoto considerable,,2,3,3,2,4
COMERCIO,GOLOSINAS,105,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
SERVICIOS INFORMATICOS Y ACTIVIDADES CONEXAS,INTERNET + LOCUTORIO,31,remotoNo,Infraestructura chica,No se distribuyen,Se traslada una persona,No requiere,Agrega algo de valor,Sin público remoto,,1,2,2,2,4
COMERCIO,COTILLON,311,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega mucho valor,Público remoto potencial,,1,3,5,5,4
COMERCIO,PLANTAS,37,remotoComplex,Infraestructura considerable,Factible de manera eficiente,No requiere,Presencial,Agrega mucho valor,Público remoto potencial,,1,2,4,5,4
FABRICACION DE PRODUCTOS DE CAUCHO Y PLASTICOS,ACRILICOS,28,remotoMix,Infraestructura considerable,Factible de manera eficiente,No requiere,Presencial,Agrega algo de valor,Público remoto potencial,,1,2,4,4,3
COMERCIO,ALMACEN + KIOSCO,105,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
SERVICIOS EMPRESARIALES,ESTUDIO DE GRABACION,4,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Agrega mucho valor,Sin público remoto,,0,0,2,4,6
OTROS SERVICIOS,SOLARIUM,79,remotoNo,Maquinaria pesada,No se distribuyen,Se traslada una persona,Opcional,Agrega mucho valor,Sin público remoto,,0,1,3,3,5
SERVICIO DE HOTELERIA Y RESTAURANTES,HOTEL FAMILIAR,537,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
SERVICOS SOCIALES Y DE SALUD,HOSPITAL,70,servicioSi,,,,,,,servicioSi,,,,,
VENTA Y REP. DE VEHICULOS AUTOMOTORES,RELOJES PARA TAXI,17,remotoMix,Herramientas manuales,"Factible, no eficiente",Opcional,Opcional,Agrega algo de valor,Público remoto potencial,,0,1,5,3,1
COMERCIO,CUADROS (VENTA),63,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega algo de valor,Público remoto incipiente,,1,3,4,4,4
COMERCIO,"PILAS, BATERIAS",11,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
HOTELERIA Y GASTRONOMIA,EMPANADAS PARA LLEVAR,203,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
COMERCIO,CERAMICAS,67,remotoHub,Infraestructura considerable,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,4,3,2,3
ENSEÑANZA,ESCUELA DE DANZAS,157,remotoNo,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
COMERCIO,PRODUCTOS VETERINARIOS,104,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
SERVICIOS EMPRESARIALES,FUMIGACIONES,42,remotoHub,Infraestructura chica,Fundamental,No requiere,No requiere,No agrega valor,Público remoto considerable,,4,6,3,2,3
FABRICACION DE PRODUCTOS TEXTILES,FABRICACION DE ARTICULOS TEXTILES,52,remotoHub,Maquinaria pesada,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,5,4,2,3
COMERCIO,AUDIO Y VIDEO (VENTA),93,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto considerable,,2,4,5,3,4
SERVICIO DE CORREO Y TELECOMUNICACIONES,MENSAJERIA,17,remotoHub,Infraestructura chica,Fundamental,Se traslada un bien,No requiere,No agrega valor,Público remoto considerable,,3,5,3,3,4
SERVICIOS EMPRESARIALES,EQUIPOS AUDIO Y VIDEO (ALQUILER),4,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto considerable,,2,3,4,2,3
SERVICIOS EMPRESARIALES,COBRO DE FACTURAS,105,remotoFull,No requiere,Digital,No requiere,No requiere,No agrega valor,Público remoto potencial,,5,3,1,1,0
VENTA Y REP. DE VEHICULOS AUTOMOTORES,AUTORADIO (VENTA),5,remotoMix,Infraestructura chica,Factible de manera eficiente,Opcional,Opcional,No agrega valor,Público remoto considerable,,2,4,5,2,3
"ALQUILER DE MAQUINARIA Y EQUIPO, ALQUILER DE EFECTOS PERSONALES",ALQUILER DE DIFRACES,10,remotoComplex,Infraestructura chica,"Factible, no eficiente",No requiere,Presencial,Agrega mucho valor,Público remoto potencial,,1,2,4,5,4
COMERCIO,ARTICULOS PARA BEBES,29,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
SERVICOS SOCIALES Y DE SALUD,CONSULTORIO MEDICO,92,remotoNo,Maquinaria liviana,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Sin público remoto,,0,1,2,4,6
INSTALACIONES PARA EDIFICIOS Y OBRAS DE INGENIERIA CIVIL,PLOMERIA,52,remotoHub,Herramientas manuales,Fundamental,No puede trasladarse,No requiere,No agrega valor,Público remoto considerable,,3,6,4,2,2
COMERCIO,REPARACION DE VIDEO,5,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,No requiere,No agrega valor,Público remoto incipiente,,2,3,1,4,3
FABRICACION DE PRODUCTOS METALICOS,ELECTROMECANICA,32,remotoHub,Herramientas manuales,Fundamental,No puede trasladarse,No requiere,No agrega valor,Público remoto considerable,,3,6,4,2,2
COMERCIO,ART. PARA FAB. VELAS Y JABONES,7,remotoHub,Infraestructura chica,Fundamental,No requiere,No requiere,No agrega valor,Público remoto considerable,,4,6,3,2,3
ENSEÑANZA,ENSEÑANZA DE IDIOMAS,210,remotoComplex,Infraestructura considerable,No se distribuyen,Se traslada una persona,Presencial,Es excluyente,Público remoto potencial,,0,0,2,5,5
VENTA Y REP. DE VEHICULOS AUTOMOTORES,AUTORADIOS (VENTA Y COLOCACION),14,remotoMix,Maquinaria pesada,"Factible, no eficiente",Se traslada un bien,Opcional,Agrega algo de valor,Público remoto potencial,,0,1,4,4,3
COMERCIO,VELAS,21,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
COMERCIO,PINTURERIA + FERRETERIA,9,remotoMix,Infraestructura considerable,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
COMERCIO,MAXIKIOSCO + LOTERIA,14,remotoMix,Herramientas manuales,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,1
SERVICIOS EMPRESARIALES,ESTUDIO CONTABLE,78,remotoFull,No requiere,Digital,No requiere,No requiere,No agrega valor,Público remoto potencial,,5,3,1,1,0
INSTALACIONES PARA EDIFICIOS Y OBRAS DE INGENIERIA CIVIL,INTALACIONES PARA EDIFICIOS,3,remotoHub,Infraestructura chica,Fundamental,No puede trasladarse,No requiere,No agrega valor,Público remoto considerable,,3,6,4,2,3
COMERCIO,BLANCO Y MANTELERIA,51,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,No agrega valor,Público remoto potencial,,2,4,4,3,2
COMERCIO,ARTICULOS ORTOPEDICOS,138,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,No agrega valor,Público remoto potencial,,2,4,4,4,3
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",VIDEO JUEGOS,54,remotoMix,Infraestructura chica,Factible de manera eficiente,Performance,Opcional,Agrega mucho valor,Público remoto potencial,,0,2,5,5,4
VENTA AL POR MAYOR DE MERCANCIAS,COMERCIO POR MAYOR,17,remotoHub,Infraestructura considerable,Fundamental,No requiere,Opcional,No agrega valor,Público remoto considerable,,3,4,3,2,3
COMERCIO,"REPARACION RADIO, TV",57,remotoComplex,Herramientas manuales,"Factible, no eficiente",Se traslada un bien,No requiere,No agrega valor,Público remoto incipiente,,2,3,1,4,3
COMERCIO,MERCERIA + LENCERIA,30,remotoMix,Infraestructura chica,"Factible, no eficiente",Opcional,Presencial,No agrega valor,Público remoto potencial,,1,2,4,4,3
COMERCIO,CAMPING (VENTA DE ARTS.),47,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
SERVICIOS DE ASOCIACIONES,SINAGOGA,26,remotoNo,Infraestructura considerable,No se distribuyen,Performance,No requiere,Es excluyente,Sin público remoto,,1,1,0,3,5
COMERCIO,LIBRERIA ARTISTICA,70,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega mucho valor,Público remoto potencial,,1,3,5,4,3
COMERCIO,PC E INSUMOS PC,192,remotoMix,Infraestructura chica,Factible de manera eficiente,Opcional,Opcional,No agrega valor,Público remoto considerable,,2,4,5,2,3
"SERVICIOS DE ESPARCIMIENTO, CULTURALES Y DEPORTIVOS",CAMPO DE DEPORTES,50,remotoNo,Infraestructura considerable,No se distribuyen,Performance,Presencial,Es excluyente,Sin público remoto,,0,0,1,4,6
COMERCIO,UNIFORMES ESCOLARES,47,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,Agrega algo de valor,Público remoto potencial,,1,3,5,4,3
"ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA",BOMBEROS,16,servicioSi,,,,,,,servicioSi,,,,,
SERVICIOS DE ASOCIACIONES,ASOCIACIONES PROFESIONALES,45,remotoFull,No requiere,No se distribuyen,No requiere,No requiere,Es excluyente,Público remoto potencial,,3,2,1,2,2
COMERCIO,DESPENSA,67,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
COMERCIO,ART DE DECORACION,1,remotoMix,Infraestructura chica,Factible de manera eficiente,No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,3,5,3,2
COMERCIO,ETIQUETAS,9,remotoMix,Infraestructura chica,"Factible, no eficiente",No requiere,Opcional,Agrega algo de valor,Público remoto potencial,,1,2,4,3,2
COMERCIO,ARTICULOS DE DANZA,3,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,No agrega valor,Público remoto potencial,,2,4,4,4,3
COMERCIO,BANDERAS,8,remotoHub,Infraestructura chica,Factible de manera eficiente,No requiere,Presencial,No agrega valor,Público remoto potencial,,2,4,4,4,3
SERVICIO DE CORREO Y TELECOMUNICACIONES,LOCUTORIO + CORREO,11,remotoNo,Infraestructura chica,No se distribuyen,Se traslada una persona,No requiere,Agrega algo de valor,Sin público remoto,,1,2,2,2,4
